hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
,,,1456466400000,06:00,"Friday, 26 2 2016, 06:00 — 12:00",9,Mild.,28,15,1020,6,90,69
,,,1456488000000,12:00,"Friday, 26 2 2016, 12:00 — 18:00",1,Partly cloudy.,30,29,1016,2,90,38
,,,1456509600000,18:00,"Friday, 26 2 2016, 18:00 — 00:00",13,Partly cloudy.,21,18,1017,0,0,77
true,"Sat, 27 Feb",27 Feb,1456531200000,00:00,"Saturday, 27 2 2016, 00:00 — 06:00",14,Mild.,16,14,1018,0,0,92
,,,1456552800000,06:00,"Saturday, 27 2 2016, 06:00 — 12:00",9,Mild.,28,15,1020,4,90,68
,,,1456574400000,12:00,"Saturday, 27 2 2016, 12:00 — 18:00",1,Rain showers. Fog.,30,28,1016,7,180,40
,,,1456596000000,18:00,"Saturday, 27 2 2016, 18:00 — 00:00",13,Partly cloudy.,20,17,1019,0,0,78
true,"Sun, 28 Feb",28 Feb,1456617600000,00:00,"Sunday, 28 2 2016, 00:00 — 06:00",14,Mild.,16,14,1019,0,0,90
,,,1456639200000,06:00,"Sunday, 28 2 2016, 06:00 — 12:00",9,Mild.,27,15,1021,5,110,76
,,,1456660800000,12:00,"Sunday, 28 2 2016, 12:00 — 18:00",1,Rain showers. Fog.,30,27,1017,6,90,48
,,,1456682400000,18:00,"Sunday, 28 2 2016, 18:00 — 00:00",13,Partly cloudy.,21,18,1018,0,0,80
true,"Mon, 29 Feb",29 Feb,1456704000000,00:00,"Monday, 29 2 2016, 00:00 — 06:00",14,Mild.,17,16,1019,0,0,89
,,,1456725600000,06:00,"Monday, 29 2 2016, 06:00 — 12:00",9,Partly sunny.,26,18,1021,5,110,71
,,,1456747200000,12:00,"Monday, 29 2 2016, 12:00 — 18:00",1,Rain showers. Fog.,29,29,1016,6,110,54
,,,1456768800000,18:00,"Monday, 29 2 2016, 18:00 — 00:00",14,Partly sunny.,22,19,1017,0,0,82
